v_tilde(cm^-1),abs
2844.74707,0.25618
2844.49218,0.25616
2844.23730,0.25730
2843.98242,0.25972
2843.72754,0.26287
2843.47265,0.27332
2843.21777,0.29962
2842.96289,0.33404
2842.70800,0.35084
2842.45312,0.33863
2842.19824,0.31579
2841.94336,0.29902
2841.68847,0.28849
2841.43359,0.28318
2841.17871,0.28664
2840.92382,0.29520
2840.66894,0.29734
2840.41406,0.28967
2840.15918,0.27991
2839.90429,0.27309
2839.64941,0.26800
2839.39453,0.26408
2839.13964,0.26197
2838.88476,0.26036
2838.62988,0.25827
2838.37500,0.25701
2838.12011,0.25693
2837.86523,0.25647
2837.61035,0.25548
2837.35547,0.25506
2837.10058,0.25496
2836.84570,0.25451
2836.59082,0.25426
2836.33593,0.25440
2836.08105,0.25410
2835.82617,0.25351
2835.57129,0.25350
2835.31640,0.25369
2835.06152,0.25339
2834.80664,0.25311
2834.55175,0.25323
2834.29687,0.25315
2834.04199,0.25289
2833.78711,0.25308
2833.53222,0.25342
2833.27734,0.25329
2833.02246,0.25323
2832.76757,0.25366
2832.51269,0.25392
2832.25781,0.25381
2832.00293,0.25395
2831.74804,0.25417
2831.49316,0.25396
2831.23828,0.25378
2830.98339,0.25404
2830.72851,0.25414
2830.47363,0.25390
2830.21875,0.25391
2829.96386,0.25400
2829.70898,0.25360
2829.45410,0.25328
2829.19922,0.25359
2828.94433,0.25390
2828.68945,0.25391
2828.43457,0.25420
2828.17968,0.25456
2827.92480,0.25428
2827.66992,0.25391
2827.41504,0.25405
2827.16015,0.25391
2826.90527,0.25323
2826.65039,0.25314
2826.39550,0.25372
2826.14062,0.25391
2825.88574,0.25392
2825.63086,0.25440
2825.37597,0.25450
2825.12109,0.25386
2824.86621,0.25382
2824.61132,0.25444
2824.35644,0.25430
2824.10156,0.25384
2823.84668,0.25433
2823.59179,0.25478
2823.33691,0.25440
2823.08203,0.25483
2822.82714,0.25608
2822.57226,0.25611
2822.31738,0.25602
2822.06250,0.25820
2821.80761,0.26112
2821.55273,0.26656
2821.29785,0.28566
2821.04297,0.32267
2820.78808,0.35646
2820.53320,0.35902
2820.27832,0.33612
2820.02343,0.31300
2819.76855,0.29808
2819.51367,0.28887
2819.25879,0.28824
2819.00390,0.29695
2818.74902,0.30400
2818.49414,0.29942
2818.23925,0.28794
2817.98437,0.27823
2817.72949,0.27143
2817.47461,0.26598
2817.21972,0.26234
2816.96484,0.26026
2816.70996,0.25836
2816.45507,0.25679
2816.20019,0.25613
2815.94531,0.25554
2815.69043,0.25467
2815.43554,0.25422
2815.18066,0.25404
2814.92578,0.25361
2814.67089,0.25337
2814.41601,0.25362
2814.16113,0.25362
2813.90625,0.25329
